"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
0,121.122321785555,"Private room","False","True",2,"False",0,0,6,69,1,5.73411665726125,0.437093979693461,222.88224309911,15.4934136641601,470.088502495484,8.41376509493967,-0.04975,51.5257
1,195.912415625955,"Private room","False","True",2,"False",1,0,10,96,1,4.7889050473136,1.46405047731334,235.385841094638,16.3625875083453,530.13352488728,9.48846637106759,-0.08475,51.5421
2,193.325336908206,"Private room","False","True",3,"False",1,0,10,95,1,4.59667713555968,0.450306190232929,268.913812002362,18.6932474809404,548.987610127198,9.82592164480122,-0.14585,51.54802
3,180.389943319457,"Private room","False","True",2,"False",1,0,9,87,1,2.05476914884792,0.132670488767901,472.381314005968,32.8370667997068,1021.27106203542,18.2789725096672,-0.10611,51.52108
7,244.831722288859,"Private room","False","True",2,"False",0,1,9,88,1,2.43083613558313,0.546798608439432,412.057146814606,28.6436987536659,932.666192632527,16.6930997357827,-0.11644,51.52905
9,128.883557938804,"Private room","False","True",2,"True",1,0,10,97,1,12.8066733243612,5.2924378619892,96.5362947792489,6.71061421413959,195.835896542531,3.5051213163453,0.03848,51.45827
12,159.693313577459,"Private room","False","True",2,"False",0,0,10,98,1,5.50230636428501,0.730634303320379,197.24794135833,13.7114734102423,415.459984013747,7.43600980088348,-0.12619,51.45888
13,152.167266398551,"Private room","False","True",2,"False",1,0,10,98,1,6.87135518673963,0.475542763968153,181.471277536429,12.6147759998325,382.352097292233,6.84343631698431,-0.03435,51.52919
14,85.1384087113996,"Private room","False","True",2,"False",1,0,10,100,1,15.9786030824187,5.7438290062878,75.1661921674451,5.22509506642088,153.466699964478,2.7467865232656,0.1,51.487
16,132.646581528258,"Private room","False","True",2,"True",0,0,10,98,1,8.25256274376449,3.09011561279417,135.375033002954,9.41044632784601,282.646601792108,5.058881678104,-0.10775,51.43519
17,296.573296643853,"Private room","False","True",2,"True",1,0,10,99,1,2.19894113676294,0.379274822871638,553.894853485197,38.5033907240401,961.478402541423,17.2087880896834,-0.09683,51.50343
18,335.144288435758,"Private room","False","True",2,"False",1,0,10,96,1,2.32296664152964,0.453173852211544,428.287156909312,29.77191003095,959.041595997344,17.1651734985269,-0.10554,51.52407
19,348.079682024507,"Private room","False","True",2,"False",1,0,10,97,1,2.7122126731859,0.359782541152488,385.829794170783,26.8205332193625,848.388278321429,15.1846719185934,-0.10624,51.52877
21,232.131517674451,"Private room","False","True",2,"False",1,0,5,70,1,6.59972066575693,1.6223185949823,168.418279558647,11.7074112209466,346.877883785162,6.20850970679967,-0.09949,51.45165
22,185.564100754957,"Private room","False","True",2,"False",1,0,9,93,1,6.72610622032865,1.72058461583573,165.408144274775,11.4981649818132,340.268769337062,6.09021807414605,-0.09961,51.45044
25,116.183353324396,"Private room","False","True",2,"False",1,0,10,97,1,9.2419764154727,5.42059090074732,129.486839877838,9.00113506754371,260.841086976895,4.66860095765352,-0.03116,51.45106
26,128.883557938804,"Private room","False","True",2,"False",0,1,10,95,1,13.9296523380796,4.96536703252038,88.0223377354148,6.11877586683637,180.059301865314,3.22274776134976,0.0685,51.48184
27,141.818951527552,"Private room","False","True",2,"True",0,0,10,97,1,7.39896785816379,3.26345950100873,165.551546593522,11.508133436069,324.849482872341,5.81423971356705,-0.04098,51.46955
28,225.546226392907,"Private room","False","True",2,"True",1,0,10,99,1,5.70784838125559,1.72396019277662,195.693895929338,13.6034456537486,452.231611031774,8.09415785225257,-0.16575,51.46292
30,281.050824337355,"Private room","False","True",3,"False",0,0,9,98,1,3.25792765862173,0.825399520000086,329.478870346896,22.9033608101955,735.331880562146,13.1611593923839,-0.12055,51.53728
31,142.054140501893,"Private room","False","True",2,"True",0,0,10,98,1,11.9097118787858,6.71090897944948,100.833376114408,7.00932109068764,204.498801877125,3.66017222726536,0.00475,51.44025
32,177.802864601707,"Private room","False","True",2,"True",1,0,10,96,1,7.82155556632815,0.45894098758401,142.179416895738,9.88344558034262,321.039450567493,5.74604677405257,-0.15779,51.44062
33,128.883557938804,"Private room","False","True",2,"False",1,0,10,100,1,10.9335435607786,3.84248922034957,118.017097034275,8.20382852564104,239.980747764855,4.29523723359062,0.01512,51.46678
